Tipo_Error,Archivo,Linea,Valor_Error,Descripción
Advertencia,AM,94,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,95,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,96,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,97,H03AL006011,Este valor no esta en el archivo de códigos
Advertencia,AM,98,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,99,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,100,A10BG004011,Este valor no esta en el archivo de códigos
Advertencia,AM,101,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,102,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,103,47193-03,Este valor no esta en el archivo de códigos
Advertencia,AM,104,N02AT020201,Este valor no esta en el archivo de códigos
Advertencia,AM,105,N02BA001011,Este valor no esta en el archivo de códigos
Advertencia,AM,106,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,107,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,108,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,109,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,110,N03AC021011,Este valor no esta en el archivo de códigos
Advertencia,AM,111,N05AC032013,Este valor no esta en el archivo de códigos
Advertencia,AM,112,P02CA008011,Este valor no esta en el archivo de códigos
Advertencia,AM,113,C07AM017162,Este valor no esta en el archivo de códigos
Advertencia,AM,114,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,115,C02CP026011,Este valor no esta en el archivo de códigos
Advertencia,AM,116,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,117,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,118,A10BG004011,Este valor no esta en el archivo de códigos
Advertencia,AM,119,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,120,C02CP026011,Este valor no esta en el archivo de códigos
Advertencia,AM,121,C07AM017162,Este valor no esta en el archivo de códigos
Advertencia,AM,122,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,123,19947421-01,Este valor no esta en el archivo de códigos
Advertencia,AM,124,H02AP027011,Este valor no esta en el archivo de códigos
Advertencia,AM,125,19942648-01,Este valor no esta en el archivo de códigos
Advertencia,AM,126,N02BA001011,Este valor no esta en el archivo de códigos
Advertencia,AM,127,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,128,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,129,G03AC06,Este valor no esta en el archivo de códigos
Advertencia,AM,130,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,131,C02CP026011,Este valor no esta en el archivo de códigos
Advertencia,AM,132,C07AM017162,Este valor no esta en el archivo de códigos
Advertencia,AM,133,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,134,A02BO002101,Este valor no esta en el archivo de códigos
Advertencia,AM,135,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,136,A02BO002101,Este valor no esta en el archivo de códigos
Advertencia,AM,137,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,138,A10BG004011,Este valor no esta en el archivo de códigos
